"COD_ITEM","NUM_ORDEM","QTDE","DESC_TECNICA"
"126261",1116771,2,"CONJUNTO INTERLIGACAO 364X248,2X364 SAIDA DRWA EXP"
"126264",1116932,1,"FECHAMENTO LATERAL SAE 1020 1,90 355,4X427,6X37,6"
"126277",1116941,1,"FECHAMENTO LATERAL SAE 1020 1,90 390,9X490X37,5 ESQ"
"126460",1117108,4,"PERFIL U FAB PADRAO SAE 1020 4,75 50X100X1777 TP1 C/F EXP"
"10061",1116950,4,"BARRA FAB CHATA ASTM A36 3,17 170X31,8X3,2 C/F"
"120375",1116741,2,"CJ PILAR TUBULAR 523,6X105X953,5 EXP"
"120384",1116859,1,"CJ TRAVESSA PERFIL U 38,2X81,3X1383 EXP"
"120389",1116746,2,"CONJUNTO INTERLIGACAO 255,2X218,2X184,0 EXP"
"120390",1116747,2,"CONJUNTO INTERLIGACAO 285,6X525,0X164,7 EXP"
"122978",1117061,2,"PERFIL U FAB PADRAO SAE 1020 1,90 1265X94X40 EXP"
"16715",1116717,1,"CJ TRANSICAO EXCENTRICA 306,9X298,2X248,7 EL5 45 DIAM 100 ESQ EXP"
"122999",1116864,1,"CHAPA FAB PLANA RETANGULAR SAE 1020 4,75 38,1X45X4,8 C/F C/E"
"123050",1117066,6,"PERFIL U FAB FECH 2 LADOS SAE 1020 1,90 782,6X94X40 C/C EXP"
"118004",1116868,3,"CHAPA FAB PLANA RETANGULAR SAE 1020 1,90 242X36X1,9 EL5P C/F"
"118018",1116874,2,"FECHAMENTO LATERAL SAE 1020 1,90 36,1X352,1X304 EL6P C/F"
"17379",1116954,6,"TRANSICAO CONCENTRICA SAE 1020 1,90 201X100,5X101"
"17401",1117232,40,"BARRA FAB REDONDA SAE 1020 9,5X9,5X135"
"17404",1117129,4,"BARRA FAB REDONDA SAE 1020 9,5X9,5X195"
"119177",1116882,3,"FECHAMENTO FRONTAL SAE 1020 1,90 170X381,9X252 EL5P"
"126288",1117080,16,"PERFIL U FAB FECH 2 LADOS SAE 1020 1,90 199X40X94 TP1 C/F EXP"
"24526",1117236,62,"BARRA FAB CHATA ASTM A36 3,17 228,2X38,1X3,2 C/F"
"44559",1116985,2,"RODAPE PADRAO SAE 1020 1,90 199,2X7X2015 C/F EXP"
"44611",1117163,18,"CHAPA FAB FIXACAO SAE 1020 4,75 150X50X45 C/F ESCADA/PISO EXP"
"53381",1116996,4,"CHAPA FAB PLANA RETANGULAR SAE 1020 2,65 38X106X2,7 C/F TP1"
"52201",1116807,2,"PERFIL LAM FAB CANT ASTM A36   50,8X50,8X2614 C/F P300 EXP"
"126169",1117087,1,"TUBO FAB REDONDO SAE 1020 1,90 102,1X250,1X100,2"
"126174",1117090,2,"PERFIL LAM FAB CANT ASTM A36 3,17 50,8X50,8X276"
"76531",1117178,1,"PERFIL U FAB PADRAO SAE 1020 3,17 53,2X81,3X1200 C/C TP2"
"108726",1117182,10,"TUBO FAB REDONDO SAE 1020 31,8X31,8X40"
"126204",1116901,1,"CONJUNTO RODAPE 470,4X588,8X9,6 UNIAO 40GRAUS EXP"
"100480",1116813,10,"CJ VALVULA GAVETA 241X228,2X66,3 EXP"
"106656",1117022,24,"TUBO FAB REDONDO SAE 1020 31,8X31,8X1250 EXP"
"100134",1117184,10,"TUBO FAB REDONDO SAE 1020 28,6X28,6X100"
"120271",1116818,1,"CHAPA FAB PLANA RETANGULAR SAE 1020 3,17 271,7X200X3,2 C/F EXP"
"120273",1117027,1,"CHAPA FAB PLANA RETANGULAR SAE 1020 4,75 34X131X4,8 C/F"
"126235",1116914,4,"LATERAL REDUCAO SAE 1020 1,90 303,5X101,1X153,6"
"126240",1116917,16,"LATERAL REDUCAO SAE 1020 1,90 152X76X30,9"
"126254",1116924,1,"FECHAMENTO TRASEIRO SAE 1020 1,90 321,3X429,5X200"
"120278",1117031,4,"CHAPA FAB PISO XADREZ SAE 1020 3,17 760,0X1442X3,2 C/F EXP"
"120297",1117034,2,"PERFIL U FAB FECH 2 LADOS SAE 1020 4,75 150,2X70,1X1369,2"
"120317",1117043,2,"PERFIL U FAB PADRAO SAE 1020 1,90 40X94X1840 C/F EXP"
"120332",1117046,4,"CHAPA FAB PLANA RETANGULAR SAE 1020 1,90 168X224X1,9"
"120340",1116842,2,"CHAPA FAB PLANA RETANGULAR SAE 1020 4,75 60X190X4,8 C/F TP1"
"120345",1116847,1,"CHAPA FAB PISO EXPANDIDA_FAB 4,75 1285X1200X4,8 C/E"
"120350",1117049,2,"CHAPA FAB PLANA RETANGULAR SAE 1020 3,17 60X231X3,2"
